City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,2.69,53,4,2.24,US,1741373381
1,bethel,41.3712,-73.414,6.61,41,75,10.8,US,1741373382
2,guerrero negro,27.9769,-114.0611,16.12,48,0,8.65,MX,1741373383
3,kodiak,57.79,-152.4072,2.73,70,0,5.66,US,1741373258
4,tazovsky,67.4667,78.7,-21.79,100,81,2.52,RU,1741373385
5,kamina,-8.7386,24.9906,20.15,93,95,1.77,CD,1741373386
6,arteche,12.2645,125.4048,25.25,91,37,4.15,PH,1741373387
7,port mathurin,-19.6833,63.4167,27.65,79,100,8.5,MU,1741373389
8,lompoc,34.6391,-120.4579,14.73,70,0,9.26,US,1741373390
9,bilibino,68.0546,166.4372,-31.98,100,96,2.24,RU,1741373391
10,flying fish cove,-10.4217,105.6791,25.82,94,100,2.06,CX,1741373392
11,port-aux-francais,-49.35,70.2167,7.9,98,100,6.91,TF,1741373393
12,bredasdorp,-34.5322,20.0403,20.38,80,0,5.3,ZA,1741373396
13,port moresby,-9.4431,147.1797,24.68,94,40,2.57,PG,1741373398
14,blackmans bay,-43.0167,147.3167,14.07,92,13,0.45,AU,1741373399
15,utrik,11.2278,169.8474,26.83,73,0,10.19,MH,1741373400
16,grytviken,-54.2811,-36.5092,4.82,75,100,3.77,GS,1741373401
17,gibara,21.1097,-76.1317,26.59,61,9,4.84,CU,1741373402
18,cape canaveral,28.4058,-80.6048,23.36,43,0,2.68,US,1741373403
19,illizi,26.4833,8.4667,20.07,50,0,3.31,DZ,1741373404
20,saipan,15.1355,145.701,24.8,89,0,2.57,MP,1741373405
21,atbasar,51.8,68.3333,-15.23,100,97,2.04,KZ,1741373406
22,avarua,-21.2078,-159.775,28.03,83,75,3.6,CK,1741373407
23,afaahiti,-17.75,-149.2833,26.84,74,44,5.06,PF,1741373408
24,yellowknife,62.456,-114.3525,-19.21,92,75,3.09,CA,1741373193
25,arkhangel'sk,64.5401,40.5433,-1.94,86,100,4.0,RU,1741373411
26,westport,41.1415,-73.3579,7.79,37,40,9.26,US,1741373412
27,grand-bassam,5.2118,-3.7388,27.98,81,100,4.34,CI,1741373413
28,tralee,52.2704,-9.7026,11.14,87,100,4.63,IE,1741373414
29,lebu,-37.6167,-73.65,17.22,57,0,4.63,CL,1741373415
30,happy valley-goose bay,53.3168,-60.3315,0.17,100,100,4.12,CA,1741373416
31,jarny,49.1574,5.8788,9.99,65,8,1.81,FR,1741373417
32,puerto ayora,-0.7393,-90.3518,28.64,88,42,2.24,EC,1741373418
33,el astillero,43.4009,-3.8205,18.34,50,20,5.66,ES,1741373419
34,khanbari,27.3747,87.2039,15.66,57,48,0.46,NP,1741373420
35,ribeira grande,38.5167,-28.7,11.54,58,40,8.75,PT,1741373421
36,uturoa,-16.7333,-151.4333,27.71,75,100,3.71,PF,1741373422
37,ayaviri,-14.8864,-70.5889,13.43,55,99,0.65,PE,1741373424
38,zeya,53.75,127.2667,-18.71,99,100,1.1,RU,1741373425
39,luderitz,-26.6481,15.1594,19.79,74,32,6.11,NA,1741373426
40,sitia,35.2,26.0986,13.28,70,0,1.91,GR,1741373427
41,longyearbyen,78.2186,15.6401,-6.09,73,75,1.03,SJ,1741373428
42,matoury,4.8483,-52.3317,29.98,70,75,7.72,GF,1741373429
43,arroyo,41.6096,-4.7969,11.73,76,20,7.72,ES,1741373430
44,laguna,38.421,-121.4238,14.57,58,0,6.69,US,1741373431
45,tranqueras,-31.2,-55.75,37.62,26,85,2.78,UY,1741373432
46,iqaluit,63.7506,-68.5145,-15.15,66,75,2.57,CA,1741373433
47,talnakh,69.4865,88.3972,-26.75,95,11,2.27,RU,1741373434
48,kiama,-34.6833,150.8667,17.54,93,62,2.01,AU,1741373436
49,lai chau,22.3997,103.4517,12.46,74,100,0.93,VN,1741373437
50,ballinasloe,53.3275,-8.2194,9.74,94,100,4.49,IE,1741373438
51,juneau,58.3019,-134.4197,3.0,95,100,4.12,US,1741373439
52,labytnangi,66.6572,66.4183,-16.47,92,78,5.72,RU,1741373399
53,ketchikan,55.3422,-131.6461,7.99,89,100,11.32,US,1741373442
54,west island,-12.1568,96.8225,25.99,94,75,2.57,CC,1741373443
55,abepura,-2.6333,140.5833,24.45,94,20,0.51,ID,1741373444
56,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,42,75,15.0,RU,1741373445
57,hun,29.1268,15.9477,20.61,38,100,2.7,LY,1741373447
58,college,64.8569,-147.8028,-2.03,90,100,2.06,US,1741373448
59,kailua-kona,19.6406,-155.9956,24.75,76,0,3.6,US,1741373449
60,sarikei,2.1167,111.5167,22.77,100,100,0.53,MY,1741373450
61,logrono,42.4667,-2.45,10.72,87,75,6.69,ES,1741373451
62,christchurch,-43.5333,172.6333,12.11,90,100,4.63,NZ,1741373452
63,altai,46.3722,96.2583,-9.22,55,9,2.49,MN,1741373453
64,iskateley,67.6803,53.1512,-20.3,99,13,3.32,RU,1741373454
65,brookings,44.3114,-96.7984,4.47,43,99,2.24,US,1741373455
66,adamstown,-25.066,-130.1015,25.24,74,0,1.24,PN,1741373456
67,vadso,70.0744,29.7487,-4.91,86,20,4.12,NO,1741373457
68,tiksi,71.6872,128.8694,-23.19,96,100,6.64,RU,1741373458
69,lae,-6.7221,146.9847,22.24,92,100,2.94,PG,1741373460
70,margaret river,-33.95,115.0667,16.9,88,0,3.6,AU,1741373461
71,wailua homesteads,22.0669,-159.378,21.74,89,100,8.23,US,1741373462
72,vorgashor,67.5833,63.95,-23.47,98,40,2.52,RU,1741373463
73,south sioux city,42.4739,-96.4136,2.97,77,100,6.17,US,1741373464
74,neryungri,56.6709,124.6491,-27.88,98,91,1.57,RU,1741373465
75,tolanaro,-25.0319,46.9987,28.04,83,20,4.12,MG,1741373466
76,urzhum,57.1141,49.9996,0.41,97,100,7.85,RU,1741373467
77,ushuaia,-54.8,-68.3,7.81,81,100,7.72,AR,1741373468
78,ust'-charyshskaya pristan',52.3934,83.6635,-3.5,91,100,3.71,RU,1741373469
79,qaqortoq,60.7167,-46.0333,-2.0,82,100,2.0,GL,1741373470
80,fort st. john,56.2499,-120.8529,2.94,65,100,8.75,CA,1741373472
81,praya,14.9215,-23.5087,23.3,56,20,8.23,CV,1741373473
82,tobruk,32.0836,23.9764,16.36,61,60,1.09,LY,1741373474
83,olonkinbyen,70.9221,-8.7187,-4.81,62,99,5.17,SJ,1741373475
84,mar del plata,-38.0023,-57.5575,34.01,49,0,7.72,AR,1741373476
85,anapa,44.8908,37.3239,3.19,100,0,3.0,RU,1741373477
86,edinburgh of the seven seas,-37.0676,-12.3116,18.21,94,100,10.58,SH,1741373478
87,hermanus,-34.4187,19.2345,21.0,76,0,5.85,ZA,1741373479
88,mili,6.0815,171.735,27.07,77,1,10.17,MH,1741373480
89,badger,64.8,-147.5333,-2.07,92,100,2.06,US,1741373481
90,chonchi,-42.6128,-73.8092,11.73,86,99,3.8,CL,1741373482
91,waitangi,-43.9535,-176.5597,13.72,77,100,5.87,NZ,1741373483
92,yatou,37.15,122.3833,1.19,86,100,2.5,CN,1741373485
93,abaete,-19.16,-45.4458,31.13,26,0,3.13,BR,1741373486
94,mount gambier,-37.8333,140.7667,17.66,61,0,2.08,AU,1741373487
95,tambopata,-12.7333,-69.1833,29.94,70,40,1.54,PE,1741373488
96,jamestown,42.097,-79.2353,2.79,51,40,7.72,US,1741373489
97,klyuchi,52.2667,79.1667,-11.32,96,100,3.17,RU,1741373490
98,ust-nera,64.5667,143.2,-36.62,100,91,1.23,RU,1741373491
99,khandyga,62.6667,135.6,-37.15,99,85,1.43,RU,1741373492
100,la'ie,21.6477,-157.9253,21.66,73,46,9.77,US,1741373493
101,tibanbang,6.6315,126.1055,26.4,82,100,3.14,PH,1741373494
102,loikaw,19.6742,97.2094,18.8,53,100,2.01,MM,1741373495
103,inhambane,-23.865,35.3833,25.99,78,20,2.06,MZ,1741373497
104,bowie,33.4501,-94.4335,18.99,75,100,0.89,US,1741373498
105,sinop,41.7711,34.8709,7.52,51,0,2.19,TR,1741373499
106,nagqu,31.5,92.0,-7.11,36,100,2.44,CN,1741373500
107,selfoss,63.9331,-20.9971,-1.09,80,100,1.57,IS,1741373501
108,constantia,44.1833,28.65,7.61,64,100,1.68,RO,1741373502
109,tromso,69.6496,18.957,0.01,80,0,2.06,NO,1741373503
110,conception bay south,47.4999,-52.9981,8.29,97,100,13.74,CA,1741373504
111,itaituba,-4.2761,-55.9836,26.09,89,75,2.06,BR,1741373505
112,ciudad manuel doblado,20.7333,-101.9333,28.0,11,0,6.29,MX,1741373506
113,codrington,-38.2667,141.9667,16.91,66,5,3.49,AU,1741373507
114,howard springs,-12.497,131.047,26.95,100,91,1.74,AU,1741373508
115,hawaiian paradise park,19.5933,-154.9731,19.94,100,100,0.0,US,1741373510
116,kingston,17.997,-76.7936,30.65,62,20,3.6,JM,1741373511
117,la passe,45.5549,-0.8967,13.21,74,32,9.3,FR,1741373512
118,sofo-birnin-gwari,11.0154,6.7804,31.01,12,33,4.72,NG,1741373513
119,dunedin,-45.8742,170.5036,12.67,75,100,1.79,NZ,1741373514
120,nuuk,64.1835,-51.7216,-9.66,79,75,1.54,GL,1741373515
121,aqaba,29.5267,35.0078,14.92,12,75,1.03,JO,1741373516
122,itoman,26.1247,127.6694,18.01,68,99,3.09,JP,1741373517
123,castillos,-34.1667,-53.8333,33.18,44,100,4.93,UY,1741373518
124,aripuana,-9.1667,-60.6333,27.5,82,99,1.67,BR,1741373519
125,jugsalai,22.7667,86.1833,19.99,49,5,1.03,IN,1741373520
126,tomatlan,19.9333,-105.25,33.69,23,93,4.08,MX,1741373522
127,nsanje,-16.92,35.262,23.68,97,57,1.32,MW,1741373523
128,ulanhot,46.0833,122.0833,-6.85,74,100,4.73,CN,1741373524
129,kavaratti,10.5669,72.642,28.45,72,0,3.66,IN,1741373525
130,papatowai,-46.5619,169.4708,10.9,94,100,3.87,NZ,1741373526
131,puerto natales,-51.7236,-72.4875,9.25,66,75,9.77,CL,1741373527
132,broome,42.2506,-75.833,4.25,50,75,7.2,US,1741373528
133,jumla,29.2747,82.1838,2.48,85,98,2.66,NP,1741373529
134,mount isa,-20.7333,139.5,25.87,65,1,2.06,AU,1741373530
135,yantarnyy,54.8717,19.9381,7.27,68,4,2.29,RU,1741373531
136,kani keli,-12.9536,45.1033,29.59,73,100,3.74,YT,1741373532
137,bima,-8.4667,118.7167,24.18,96,100,0.18,ID,1741373533
138,pemangkat,1.1667,108.9667,24.25,89,100,2.72,ID,1741373535
139,hamilton,39.1834,-84.5333,7.55,61,100,4.63,US,1741373536
140,cill airne,52.05,-9.5167,11.03,87,100,4.63,IE,1741373537
141,thompson,55.7435,-97.8558,-10.91,52,100,4.63,CA,1741373538
142,susuman,62.7833,148.1667,-45.84,100,87,0.4,RU,1741373539
143,atafu village,-8.5421,-172.5159,27.08,78,27,4.1,TK,1741373540
144,namibe,-15.1961,12.1522,25.22,80,100,4.44,AO,1741373541
145,bangassou,4.7413,22.8184,25.56,60,100,1.73,CF,1741373542
146,yarmouth,41.7057,-70.2286,7.03,42,0,15.2,US,1741373543
147,sao gabriel,-30.3364,-54.32,38.48,23,98,4.38,BR,1741373544
148,vizinga,61.0749,50.1031,-4.79,98,100,1.21,RU,1741373545
149,padang,-0.9492,100.3543,25.03,85,100,2.57,ID,1741373546
150,georgetown,5.4112,100.3354,28.96,78,20,1.54,MY,1741373548
151,fort bragg,35.139,-79.006,11.91,37,100,3.6,US,1741373549
152,mahenge,-8.6833,36.7167,18.76,93,14,1.47,TZ,1741373551
153,fayzabad,37.1166,70.58,5.32,87,100,1.0,AF,1741373552
154,kurayoshi,35.4333,133.8167,2.71,74,100,1.84,JP,1741373553
155,constitucion,-35.3333,-72.4167,20.05,61,64,6.82,CL,1741373432
156,udachny,66.4167,112.4,-37.24,100,100,2.01,RU,1741373555
157,liwa,24.5361,56.5656,25.01,41,0,1.54,OM,1741373556
158,bonthe,7.5264,-12.505,25.33,72,14,4.84,SL,1741373557
159,akjoujt,19.6969,-14.4164,27.32,13,0,4.96,MR,1741373558
160,sodra sandby,56.5667,16.6167,8.27,71,1,3.31,SE,1741373559
161,bousse,12.6606,-1.8922,35.61,24,81,1.42,BF,1741373561
